cpu,mem,time,io,net,lost
76,88,3797,431,4.579392,1
78,88,3803,429,2.362104,1
26,89,3809,427,3.01744,1
82,89,3816,426,3.851032,1
58,89,3822,424,2.185528,1
87,90,3828,422,2.232264,1
66,90,3834,421,1.4452,1
48,90,3840,419,0.668416,0
52,89,3846,418,0.82172,0
81,89,3852,417,3.475384,1
33,90,3858,415,3.14704,1
36,90,3864,414,2.23452,1
46,90,3870,412,2.349184,0
68,90,3877,411,5.236536,1
41,89,3883,409,1.907968,0
44,90,3889,408,5.86588,1
38,90,3895,406,3.13832,1
58,90,3901,405,4.003616,1
73,89,3908,403,1.628624,1
29,89,3914,402,2.272144,1
7,89,3920,401,2.8586,1
48,89,3926,398,1.98232,1
32,89,3932,398,2.055872,0
6,89,3938,397,1.08068,1
72,89,3943,395,1.580784,1
31,89,3949,394,1.508024,1
14,89,3955,393,1.516896,1
44,89,3961,392,1.676824,1
32,90,3967,391,1.67872,1
48,90,3972,389,1.540424,1
51,90,3978,388,1.28224,1
34,90,3984,387,1.379736,1
30,90,3990,386,1.72384,0
44,89,4007,382,1.604208,0
8,89,4012,381,1.03344,0
8,89,4018,380,2.92496,1
14,89,4024,378,5.76468,1
49,89,4030,377,6.668696,1
34,90,4037,375,6.44396,1
6,89,4043,374,5.667464,1
2,88,4048,373,5.595864,1
28,88,4055,372,5.035576,1
43,87,4060,371,4.795368,1
63,87,4067,370,4.267576,1
33,86,4103,363,4.323048,1
28,86,4109,362,4.771704,0
35,85,4115,361,4.099584,1
23,85,4121,360,3.443328,1
18,85,4126,359,3.5474,0
44,85,4132,358,1.988088,0
30,85,4138,357,3.090904,0
11,85,4144,356,2.825112,0
27,84,4150,355,5.4104,0
16,84,4156,354,2.66476,0
40,84,4162,353,2.512304,0
23,84,4168,352,2.64084,0
23,84,4174,351,2.848464,0
46,84,4180,350,2.705016,0
25,84,4186,349,2.65676,0
40,85,4192,348,2.592592,0
34,84,4198,347,2.73716,0
14,84,4203,346,3.034872,0
44,85,4209,345,2.922,1
70,85,4216,344,2.7532,0
28,85,4222,343,3.050232,0
16,85,4228,342,5.939656,0
30,85,4234,341,4.155808,1
29,85,4240,340,3.539264,1
35,86,4246,339,3.171392,1
20,86,4252,338,3.098216,0
16,86,4257,337,2.55256,0
44,86,4264,336,2.592672,0
20,86,4270,335,3.026136,0
26,86,4276,335,2.277552,0
24,87,4282,334,6.892008,1
49,86,4288,333,6.083928,1
27,86,4294,332,5.372152,1
23,86,4300,331,4.923392,1
30,86,4305,330,5.332288,1
34,86,4311,329,4.107184,1
34,87,4317,328,4.659872,1
20,87,4323,328,4.035008,1
18,87,4329,327,4.899616,1
31,87,4335,326,4.323168,1
27,87,4341,325,3.48952,1
28,87,4347,324,3.288392,1
33,87,4353,322,2.860896,1
57,87,4359,322,4.857816,1
29,87,4366,321,4.83656,1
34,88,4371,320,4.00304,1
34,87,4377,320,2.830616,1
50,87,4383,318,6.073736,1
16,87,4389,317,4.331824,1
37,88,4395,317,4.492032,1
42,88,4401,316,3.119472,1
10,87,4406,315,2.928672,1
46,88,4412,314,5.540056,1
33,88,4419,314,4.716424,1
30,89,4425,313,4.884272,1
43,89,4430,312,2.211544,1
48,90,4436,311,4.38576,1
